,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
413,,,113564,0,0,-1,1,0,2,2.3,1.8,1,Sam,2.8,454,False,,,44,113564.jpg,1.7,Byram,0.1,False,,a,14,45,25,6043,144,9646,145,0.6,5.7,Byram,1176,0,0,2,23,0,0,0,4,0,0,2,180,260.4,103.7,149.0,51.4
414,0.0,0.0,101061,0,0,-1,1,0,2,0.0,0.0,0,Philip,0.0,484,False,Joined Nurnberg on loan until the end of the season on 4/1. - Expected back 01 Jul,2020-01-10T20:00:21.434889Z,39,101061.jpg,0.0,Heise,0.7,False,,n,14,45,0,49908,413,54380,1802,0.0,0.0,Heise,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
415,75.0,100.0,128348,0,0,0,0,0,3,-0.2,-0.8,0,Ibrahim,0.2,507,False,Knee injury - 75% chance of playing,2020-01-24T15:00:18.438418Z,45,128348.jpg,1.6,Amadou,0.1,False,,d,14,45,18,11472,32,10428,261,0.0,4.0,Amadou,756,0,0,1,20,0,0,0,1,0,0,0,122,177.2,18.3,31.0,22.7
416,,,432735,0,0,-1,1,0,4,0.3,-0.2,0,Adam,0.8,538,False,,,44,432735.jpg,1.5,Idah,0.1,False,,a,14,45,3,16341,220,12322,494,0.2,0.7,Idah,65,0,0,0,3,0,0,0,0,0,0,0,9,3.0,1.5,4.0,0.9
417,,,233849,0,0,0,0,0,1,-0.5,-1.0,0,Archie,0.0,551,False,,,40,233849.jpg,0.0,Mair,0.1,False,,a,14,45,0,6272,149,2828,168,0.0,0.0,Mair,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
418,0.0,0.0,232667,0,0,0,0,0,2,0.0,0.0,0,Akin,0.0,552,False,Joined St Mirren on loan until the end of the season on 8/1. - Expected back 01 Jul,2020-01-08T10:30:20.484548Z,40,232667.jpg,0.0,Famewo,0.1,False,,n,14,45,0,4545,20,4223,194,0.0,0.0,Famewo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
419,,,139110,0,0,0,0,0,3,3.5,3.0,2,Ondrej,4.0,601,False,,,50,139110.jpg,4.0,Duda,0.1,False,,a,14,45,8,12248,1081,2531,1154,0.8,1.6,Duda,167,0,1,1,2,0,0,0,0,0,0,0,40,37.2,66.0,37.0,14.0
420,,,76306,0,0,0,0,0,3,1.0,0.5,2,Lukas,1.5,602,False,,,45,76306.jpg,1.5,Rupp,0.0,False,,a,14,45,3,235,101,95,44,0.3,0.7,Rupp,86,0,0,0,2,0,0,0,0,0,0,0,9,0.0,17.3,24.0,3.9
421,100.0,100.0,178304,0,0,-3,3,1,4,1.2,0.2,1,Lys,1.2,70,False,,2019-12-08T16:00:13.029423Z,47,178304.jpg,3.2,Mousset,2.7,False,,a,15,49,67,735916,8473,599772,16281,0.3,14.3,Mousset,967,5,3,3,11,0,0,0,0,0,0,9,197,244.2,137.2,423.0,79.4
422,,,63426,0,0,1,-1,1,2,3.5,2.5,2,Enda,3.5,291,False,,,51,63426.jpg,3.8,Stevens,2.3,False,,a,15,49,90,298621,11959,176766,6240,0.7,17.6,Stevens,2160,1,2,8,23,0,0,0,4,0,0,8,435,441.2,417.2,201.0,105.9
