assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,elementStatus,element_type,element_type_id,element_type_singular_name,element_type_singular_name_short,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,iconInfo,ict_index,id,in_dreamteam,influence,infoStub,isElement,isTransfer,loaned_in,loaned_out,loans_in,loans_out,minutes,news,next_event_fixture,now_cost,own_goals,penalties_missed,penalties_saved,photo,photo_url,points_per_game,red_cards,saves,search_name,second_name,selected_by_percent,shirt_id,shirt_image_url,special,squad_number,status,team,team_code,team_name,team_short_name,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,100,100,0,15885,0,0,0,0,0.0,0,0,,1,1,Goalkeeper,GKP,1.0,1.0,0,Adam,0.0,0,0,ism-icon--info,0.0,31,False,0.0,,True,False,0,0,0,0,0,,WAT (H),40,0,0,0,15885.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/15885.jpg,0.0,0,0,federici,Federici,5.7,91_1,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_91_1.png,False,32,a,2,91,Bournemouth,BOU,0.0,0,486,486,256,256,0.0,0.0,Federici,0
0,0,17,,,0,15149,0,0,0,0,0.0,0,0,,2,2,Defender,DEF,1.5,1.5,2,Simon,2.0,1,0,ism-icon--info,0.0,32,False,0.0,,True,False,0,0,0,0,79,,WAT (H),45,0,0,0,15149.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/15149.jpg,2.0,0,0,francis,Francis,3.4,91,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_91.png,False,2,a,2,91,Bournemouth,BOU,0.0,2,370,370,319,319,0.4,0.4,Francis,0
0,0,12,75,75,0,56917,0,0,0,0,0.0,0,0,75,2,2,Defender,DEF,1.6,1.6,2,Steve,2.0,1,0,ism-icon--info--75,0.0,33,False,0.0,poss_75,True,False,0,0,0,0,90,Knock - 75% chance of playing,WAT (H),50,0,0,0,56917.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/56917.jpg,2.0,0,0,steve cook,Cook,0.9,91,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_91.png,False,3,d,2,91,Bournemouth,BOU,0.0,2,25,25,484,484,0.4,0.4,Steve Cook,0
0,0,13,,,0,41320,0,0,0,0,0.0,0,0,,2,2,Defender,DEF,2.1,2.1,2,Charlie,2.0,1,0,ism-icon--info,0.0,34,False,0.0,,True,False,0,0,0,0,90,,WAT (H),50,0,0,0,41320.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/41320.jpg,2.0,0,0,daniels,Daniels,21.4,91,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_91.png,False,11,a,2,91,Bournemouth,BOU,0.0,2,1250,1250,1628,1628,0.4,0.4,Daniels,0
0,0,3,100,100,0,54469,0,0,0,0,0.0,0,0,,2,2,Defender,DEF,2.1,2.1,1,Adam,1.0,0,0,ism-icon--info,0.0,35,False,0.0,,True,False,0,0,0,0,10,,WAT (H),50,0,0,0,54469.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/54469.jpg,1.0,0,0,adam smith,Smith,1.3,91,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_91.png,False,15,a,2,91,Bournemouth,BOU,0.0,1,120,120,282,282,0.2,0.2,Adam Smith,0
0,0,0,,,0,149484,0,0,0,0,0.0,0,0,,2,2,Defender,DEF,1.5,1.5,0,Tyrone,0.0,0,0,ism-icon--info,0.0,36,False,0.0,,True,False,0,0,0,0,0,,WAT (H),45,0,0,0,149484.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/149484.jpg,0.0,0,0,mings,Mings,0.5,91,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_91.png,False,26,a,2,91,Bournemouth,BOU,0.0,0,117,117,113,113,0.0,0.0,Mings,0
0,0,0,,,0,120447,0,0,0,0,0.0,0,0,,2,2,Defender,DEF,1.0,1.0,0,Bradley,0.0,0,0,ism-icon--info,0.0,37,False,0.0,,True,False,0,0,0,0,0,,WAT (H),40,0,0,0,120447.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/120447.jpg,0.0,0,0,brad smith,Smith,4.5,91,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_91.png,False,14,a,2,91,Bournemouth,BOU,0.0,0,971,971,744,744,0.0,0.0,Brad Smith,0
0,0,25,,,0,126184,0,0,0,0,0.0,0,0,,2,2,Defender,DEF,2.1,2.1,2,Nathan,2.0,1,0,ism-icon--info,0.0,38,False,0.0,,True,False,0,0,0,0,90,,WAT (H),50,0,0,0,126184.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/126184.jpg,2.0,0,0,ake,Aké,8.7,91,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_91.png,False,5,a,2,91,Bournemouth,BOU,0.0,2,1346,1346,824,824,0.4,0.4,Aké,0
0,0,15,,,0,48615,0,0,0,0,0.0,0,0,,3,3,Midfielder,MID,1.5,1.5,1,Harry,1.0,1,0,ism-icon--info,0.0,39,False,0.0,,True,False,0,0,0,0,90,,WAT (H),50,0,0,0,48615.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/48615.jpg,1.0,0,0,arter,Arter,0.9,91,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_91.png,False,8,a,2,91,Bournemouth,BOU,0.0,1,140,140,195,195,0.2,0.2,Arter,1
0,0,4,,,0,20037,0,0,0,0,0.0,0,0,,3,3,Midfielder,MID,1.5,1.5,1,Marc,1.0,1,0,ism-icon--info,0.0,40,False,0.0,,True,False,0,0,0,0,45,,WAT (H),50,0,0,0,20037.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/20037.jpg,1.0,0,0,pugh,Pugh,0.1,91,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_91.png,False,7,a,2,91,Bournemouth,BOU,0.0,1,19,19,33,33,0.2,0.2,Pugh,0
