name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,team,position,unique_id
Raheem_Sterling_270,15,1264,10,8,25,743,17,23,1086,937.4,79,0,0,40,19,17,357.1,1060.0,64,2770,13,9,394,0,0,0,0,114,0,742,0,30590933,160,14,15,50,68,1572,234,2407556,4308830,1901274,4305,19.0,6,3,494,114,389139
Rajiv_van La Parra_200,0,104,0,0,0,13,1,6,90,57.599999999999994,6,0,1,4,6,0,12.600000000000001,27.8,4,405,0,0,400,0,0,0,0,33,0,741,0,77770,32,3,4,43,55,41,10,-2929,1113,4042,1787,19.0,0,0,380,114,288059
Ramadan_Sobhi_207,0,42,0,0,0,13,0,0,36,48.2,2,0,0,0,2,0,6.9,15.4,3,75,0,1,400,0,0,0,0,7,0,741,0,231720,8,1,0,43,55,6,4,-14974,2308,17282,1808,19.0,0,0,380,114,298167
Reece_Oxford_407,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,382,0,0,0,0,0,0,741,0,212093,0,0,0,47,60,0,0,-4444,1281,5725,1629,19.0,0,0,722,76,586967
Reiss_Nelson_19,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,418,0,0,0,0,0,0,745,0,1029593,0,0,0,47,77,0,0,-29004,4166,33170,1675,19.0,0,0,38,114,26695
Rhys_Healey_573,0,7,0,0,0,7,0,0,3,10.9,1,0,0,1,1,0,2.6999999999999997,4.2,1,49,0,0,177,0,0,0,0,1,0,512,0,94316,3,0,0,22,21,12,3,5411,14651,9240,765,8.0,0,0,85,68,361471
Ricardo Domingos_Barbosa Pereira_221,8,1533,8,0,22,693,10,174,1195,517.6000000000001,64,0,1,41,45,2,183.70000000000005,888.9999999999999,33,3123,2,16,398,0,1,0,0,217,0,741,0,20395423,78,31,6,47,52,430,146,471257,1644641,1173384,1978,19.0,1,7,418,76,318383
Richarlison_de Andrade_393,3,789,2,7,12,400,11,54,541,350.7,35,0,0,32,36,13,224.5,698.4000000000001,20,2662,17,4,404,0,0,0,0,162,1,739,0,53180761,130,27,28,45,55,1209,153,88785,4155466,4066681,2559,19.0,4,5,304,114,566751
Riyad_Mahrez_223,4,798,9,5,14,349,4,12,678,450.8000000000001,26,0,1,10,9,7,164.10000000000002,459.3999999999999,24,1331,9,9,394,0,0,1,0,83,0,742,0,5489113,43,5,16,50,68,731,102,-196769,403725,600494,3212,19.0,3,0,494,114,321271
Rob_Holding_6,0,615,0,0,5,148,1,56,537,28.7,3,0,0,6,10,0,23.2,187.79999999999998,2,806,0,0,418,0,1,0,0,55,0,745,0,1189895,5,6,2,47,77,14,24,-22268,39918,62186,1657,19.0,0,1,38,76,7923
Robbie_Brady_79,1,223,1,1,0,77,1,23,139,194.10000000000005,7,0,1,12,17,0,38.2,102.00000000000001,14,714,0,5,412,0,0,0,0,46,1,741,0,46905,16,5,6,53,60,85,20,-1182,1893,3075,2055,19.0,0,3,152,114,113335
Robert Kenedy_Nunes do Nascimento_458,1,460,1,3,1,161,6,47,333,187.9,29,0,1,18,18,1,69.80000000000001,212.79999999999998,12,1337,5,7,390,0,0,1,0,111,0,741,0,2281465,63,17,14,43,47,297,50,-97461,107443,204904,1840,19.0,0,1,570,114,660611
Robert_Elliot_307,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,390,0,0,0,0,0,0,741,0,430136,0,0,0,43,47,0,0,-10252,1711,11963,1649,19.0,0,0,570,38,442567
Robert_Snodgrass_489,5,967,6,2,9,364,5,33,795,976.0,35,0,0,36,33,2,181.50000000000006,460.8,59,2215,3,12,382,0,1,0,0,133,0,741,0,2539657,74,20,10,47,60,380,85,34113,396588,362475,1988,19.0,1,10,722,114,705375
Roberto_Firmino_257,8,1280,8,8,24,647,19,21,1032,670.1,47,0,0,39,15,12,267.8,774.8000000000001,43,2606,7,2,396,0,0,0,0,110,0,741,0,44680162,83,14,22,44,67,1240,160,-1135468,1971554,3107022,3530,19.0,5,0,456,152,370367
Roberto_Pereyra_391,4,1122,7,6,13,432,6,40,933,512.7,42,1,1,27,53,6,171.8,458.3999999999999,34,2817,2,5,384,0,0,0,0,187,0,744,0,29031042,114,12,22,54,57,744,122,267960,2417333,2149373,2346,19.0,2,3,684,114,563863
