Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Fraser,BOU,MID,62,452.4,343.0,251.0,104.7,15,3,6,0,0,0,0,1,0,26.1,1022,10,70
Fred,MUN,MID,55,118.0,101.0,61.0,28.1,10,1,0,0,0,0,0,1,0,1.5,482,3,20
Fredericks,WHU,DEF,46,37.2,46.4,10.0,9.5,8,0,0,0,0,0,0,2,0,0.2,287,0,2
Fuchs,LEI,DEF,42,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Fabregas,CHE,MID,63,7.5,8.6,2.0,1.8,0,0,0,0,0,0,0,0,0,0.4,48,0,3
Gabbiadini,SOU,FWD,56,44.6,58.0,83.0,18.1,6,1,0,0,0,0,0,0,0,0.2,268,3,17
Gayle,NEW,FWD,60,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Gazzaniga,TOT,GKP,45,0.0,55.6,0.0,5.5,1,0,0,0,0,0,8,0,0,0.0,180,0,10
Ghezzal,LEI,MID,52,207.0,85.0,89.0,38.0,8,1,0,0,0,0,0,2,0,0.2,400,2,18
Gibbs-White,WOL,MID,43,34.6,11.6,3.0,4.6,1,0,0,0,0,0,0,1,0,0.4,64,0,5
Gibson,BUR,DEF,48,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Giroud,CHE,FWD,77,171.4,94.6,197.0,45.6,2,0,4,0,0,0,0,0,0,2.0,381,2,27
Gomes,WAT,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Gomez,LIV,DEF,51,90.7,196.0,44.0,33.1,4,0,0,0,0,0,0,1,0,4.3,935,2,46
Gosling,BOU,MID,48,83.9,114.8,54.0,25.1,8,0,0,0,0,0,0,3,0,0.1,584,0,14
Grant,MUN,GKP,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Gray,LEI,MID,54,85.5,133.0,175.0,39.3,8,2,1,0,0,0,0,1,0,1.4,619,2,33
Gray,WAT,FWD,60,81.1,126.8,279.0,48.4,9,3,0,0,0,0,0,1,0,1.0,649,2,32
Gross,BHA,MID,67,76.4,70.6,63.0,21.0,4,1,0,0,1,0,0,0,0,1.6,217,3,11
Guaita,CRY,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Gudmundsson,BUR,MID,60,219.9,248.4,175.0,64.3,20,2,5,0,0,0,0,2,0,3.3,888,5,52
Guendouzi,ARS,MID,45,50.0,97.8,16.0,16.4,10,0,0,0,0,0,0,2,0,1.9,523,0,11
Gueye,EVE,MID,48,85.8,225.2,31.0,34.2,14,0,0,0,0,0,0,3,0,0.3,977,0,22
Gunn,SOU,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Gunnarsson,CAR,MID,44,46.3,56.8,14.0,11.7,6,0,0,0,0,0,0,1,0,0.4,328,0,7
Gyokeres,BHA,FWD,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Gundogan,MCI,MID,54,131.8,143.0,153.0,42.6,2,2,2,0,0,0,0,0,0,1.7,367,5,34
Hadergjonaj,HUD,DEF,44,127.6,88.4,31.0,24.5,14,0,0,0,0,0,0,1,0,0.1,748,0,22
Halford,CAR,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Hamer,HUD,GKP,40,0.0,78.4,0.0,7.8,9,0,0,0,0,0,11,0,0,8.2,192,0,4
Harris,CAR,MID,45,37.6,47.6,44.0,12.9,3,1,1,0,0,0,0,0,0,0.0,126,0,13
Hart,BUR,GKP,45,0.0,407.6,0.0,40.7,25,0,0,0,0,1,54,0,0,8.9,1080,6,51
Hause,WOL,DEF,40,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Hayden,NEW,MID,44,12.1,25.8,0.0,3.8,2,0,0,0,0,0,0,0,1,0.1,126,0,1
Hazard,CHE,MID,113,474.6,443.2,475.0,139.4,5,7,4,0,0,0,0,1,0,43.5,782,13,82
Heaton,BUR,GKP,48,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Hemed,BHA,FWD,49,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Henderson,LIV,MID,53,63.6,82.6,4.0,15.3,3,0,0,0,0,0,0,0,0,0.6,476,0,16
Hendrick,BUR,MID,53,51.5,72.0,139.0,26.2,18,1,0,0,0,0,0,2,0,0.1,575,0,19
Hennessey,CRY,GKP,45,0.0,275.4,0.0,27.7,17,0,0,0,0,1,33,0,0,5.9,1080,3,45
Herrera,MUN,MID,50,6.0,40.6,57.0,10.5,5,0,0,0,0,0,0,1,0,0.1,194,0,6
Hoedt,SOU,DEF,44,17.8,267.6,37.0,32.5,21,0,0,2,0,0,0,1,0,0.3,1080,3,29
Hogg,HUD,MID,44,88.4,130.4,20.0,23.8,11,0,1,0,0,0,0,0,1,0.3,692,3,21
Hoilett,CAR,MID,50,67.0,55.6,88.0,20.5,18,0,1,0,0,0,0,2,0,0.1,636,0,18
Holding,ARS,DEF,44,4.4,147.4,11.0,16.4,6,0,0,0,0,0,0,1,0,0.9,591,5,20
Holebas,WAT,DEF,48,320.6,296.6,61.0,67.9,14,2,4,0,0,0,0,6,0,12.2,893,6,44
Holgate,EVE,DEF,44,5.0,92.2,2.0,9.9,9,0,0,0,0,0,0,1,0,0.1,407,0,5
Hudson-Odoi,CHE,MID,42,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.7,0,0,0
Hughes,WAT,MID,50,170.8,164.4,199.0,53.5,13,1,1,0,0,0,0,3,0,1.4,935,2,33
