    ID,    Web Name,    Player ID,    Full Name,    Team,    News,    Position,    Current Price,    Value Season,    Cost Change from Start,    Percentage selected by,    Transfers In,    Transfers Out,    Total Points,    Points Per Game,    Minutes,    Goals Scored,    Assists,    Clean Sheets,    Goals Conceded,    Own Goals,    Penalties Saved,    Penalties Missed,    Yellow Cards,    Red Cards,    Saves,    Bonus Points,    Bonus Point System Score,    Influence,    Creativity,    Threat,        ICT Index,    EA Index,
                62,        Knockaert,        83543,        Anthony Knockaert,        36,        ,        3,        55,        16.0,        -5,        0.6,        52744,        123734,        88,        2.7,        2415,        3,        1,        11,        29,        0,        0,        0,        4,        1,        0,        6,        383,        404.0,        557.2,        530.0,        149.1,        0,    
                63,        Stephens,        40845,        Dale Stephens,        36,        ,        3,        45,        19.3,        0,        1.2,        225003,        196706,        87,        2.4,        3240,        0,        3,        10,        50,        0,        0,        0,        6,        0,        0,        2,        550,        625.8,        272.5,        176.0,        107.7,        0,    
                64,        Kayal,        38490,        Beram Kayal,        36,        ,        3,        44,        5.7,        -1,        0.1,        3704,        6503,        25,        1.3,        735,        0,        0,        1,        14,        0,        0,        0,        2,        0,        0,        0,        115,        111.2,        137.0,        48.0,        29.6,        0,    
                65,        Sidwell,        11735,        Steve Sidwell,        36,        Back injury - Unknown return date,        3,        42,        0.0,        -3,        0.2,        3673,        23491,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                66,        March,        109345,        Solomon March,        36,        ,        3,        48,        15.4,        -2,        0.2,        48669,        48441,        74,        2.1,        1838,        1,        3,        6,        29,        0,        0,        0,        3,        0,        0,        3,        303,        357.4,        320.9,        316.0,        99.8,        0,    
                67,        Skalak,        88170,        Jiri Skalak,        36,        ,        3,        47,        0.0,        -3,        0.0,        718,        2220,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                68,        Norwood,        79934,        Oliver Norwood,        36,        Season-long loan to Fulham,        3,        45,        0.0,        0,        0.0,        123,        494,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                69,        Murphy,        2513,        Jamie Murphy,        36,        Transferred to Rangers,        3,        47,        1.3,        -3,        0.0,        1927,        4809,        6,        1.5,        166,        0,        0,        0,        4,        0,        0,        0,        0,        0,        0,        0,        25,        11.8,        15.5,        24.0,        5.1,        0,    
                70,        Groß,        60307,        Pascal Groß,        36,        ,        3,        59,        27.8,        4,        15.4,        2556990,        1831783,        164,        4.3,        2928,        7,        8,        10,        46,        0,        0,        0,        2,        0,        0,        24,        635,        735.4,        1311.0,        527.0,        257.6,        0,    
                71,        Murray,        20529,        Glenn Murray,        36,        ,        4,        59,        18.8,        -1,        5.7,        937743,        660546,        111,        3.2,        2184,        12,        0,        8,        36,        0,        0,        2,        9,        0,        0,        16,        319,        492.4,        271.8,        779.0,        153.1,        0,    
